,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-L,Avg-Rating
350,0375412824,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002,Knopf,http://images.amazon.com/images/P/0375412824.01.LZZZZZZZ.jpg,7.4
351,1558743669,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,Health Communications,http://images.amazon.com/images/P/1558743669.01.LZZZZZZZ.jpg,8.0
352,0553582135,Final Target,Iris Johansen,2002,Bantam Books,http://images.amazon.com/images/P/0553582135.01.LZZZZZZZ.jpg,7.2
353,0385720106,A Map of the World,Jane Hamilton,1999,Anchor Books/Doubleday,http://images.amazon.com/images/P/0385720106.01.LZZZZZZZ.jpg,7.0
354,0553208845,Siddhartha,Hermann Hesse,1981,Bantam Classics,http://images.amazon.com/images/P/0553208845.01.LZZZZZZZ.jpg,8.5
355,0842329218,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye,1997,Tyndale House Publishers,http://images.amazon.com/images/P/0842329218.01.LZZZZZZZ.jpg,8.4
356,0440221471,The Runaway Jury,JOHN GRISHAM,1997,Dell,http://images.amazon.com/images/P/0440221471.01.LZZZZZZZ.jpg,7.7
357,0425143325,Without Remorse,Tom Clancy,2004,Berkley Publishing Group,http://images.amazon.com/images/P/0425143325.01.LZZZZZZZ.jpg,7.8
358,0425180964,The Bear and the Dragon (Jack Ryan Novels),Tom Clancy,2001,Berkley Publishing Group,http://images.amazon.com/images/P/0425180964.01.LZZZZZZZ.jpg,7.6
359,0743411250,The Woman Next Door,Barbara Delinsky,2002,Pocket,http://images.amazon.com/images/P/0743411250.01.LZZZZZZZ.jpg,7.3
360,0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch,http://images.amazon.com/images/P/0060502258.01.LZZZZZZZ.jpg,7.8
361,0061020710,The Color of Magic,Terry Pratchett,2000,HarperTorch,http://images.amazon.com/images/P/0061020710.01.LZZZZZZZ.jpg,7.3
362,0345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345339681.01.LZZZZZZZ.jpg,8.7
363,1558744630,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),Jack Canfield,1997,Health Communications,http://images.amazon.com/images/P/1558744630.01.LZZZZZZZ.jpg,7.5
364,0671004107,Contact,Carl Sagan,1997,Pocket,http://images.amazon.com/images/P/0671004107.01.LZZZZZZZ.jpg,7.8
365,0671683993,The Temple of My Familiar,Alice Walker,1990,Pocket,http://images.amazon.com/images/P/0671683993.01.LZZZZZZZ.jpg,7.6
366,0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439064872.01.LZZZZZZZ.jpg,8.8
367,0061097314,The Bean Trees,Barbara Kingsolver,1998,HarperTorch,http://images.amazon.com/images/P/0061097314.01.LZZZZZZZ.jpg,8.3
368,0140119906,Love in the Time of Cholera (Penguin Great Books of the 20th Century),Gabriel Garcia Marquez,1994,Penguin Books,http://images.amazon.com/images/P/0140119906.01.LZZZZZZZ.jpg,8.1
369,0553579606,Ashes to Ashes,TAMI HOAG,2000,Bantam,http://images.amazon.com/images/P/0553579606.01.LZZZZZZZ.jpg,7.1
370,006099486X,"The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary",Simon Winchester,1999,Perennial,http://images.amazon.com/images/P/006099486X.01.LZZZZZZZ.jpg,7.7
371,0553289411,The Plains of Passage (Earth's Children (Paperback)),JEAN M. AUEL,1991,Bantam,http://images.amazon.com/images/P/0553289411.01.LZZZZZZZ.jpg,7.5
372,0446530522,Cane River,Lalita Tademy,2001,Warner Books,http://images.amazon.com/images/P/0446530522.01.LZZZZZZZ.jpg,8.3
373,0345447840,The Surgeon,TESS GERRITSEN,2002,Ballantine Books,http://images.amazon.com/images/P/0345447840.01.LZZZZZZZ.jpg,7.8
374,0446359866,Presumed Innocent,Scott Turow,1989,Warner Books,http://images.amazon.com/images/P/0446359866.01.LZZZZZZZ.jpg,7.5
375,0446612790,2nd Chance,James Patterson,2003,Warner Vision,http://images.amazon.com/images/P/0446612790.01.LZZZZZZZ.jpg,7.8
376,0553213148,Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics,http://images.amazon.com/images/P/0553213148.01.LZZZZZZZ.jpg,9.0
377,0446365505,Pleading Guilty,Scott Turow,1994,Warner Books,http://images.amazon.com/images/P/0446365505.01.LZZZZZZZ.jpg,7.1
378,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc,http://images.amazon.com/images/P/002542730X.01.LZZZZZZZ.jpg,7.8
379,0451203895,4 Blondes,Candace Bushnell,2002,Signet Book,http://images.amazon.com/images/P/0451203895.01.LZZZZZZZ.jpg,5.7
380,0553272535,Night,Elie Wiesel,1982,Bantam Books,http://images.amazon.com/images/P/0553272535.01.LZZZZZZZ.jpg,8.5
381,068484477X,STONES FROM THE RIVER,Ursula Hegi,1997,Touchstone,http://images.amazon.com/images/P/068484477X.01.LZZZZZZZ.jpg,8.1
382,0452283205,Falling Angels,Tracy Chevalier,2002,Plume Books,http://images.amazon.com/images/P/0452283205.01.LZZZZZZZ.jpg,7.5
383,0553250531,The Valley of Horses,JEAN M. AUEL,1984,Bantam,http://images.amazon.com/images/P/0553250531.01.LZZZZZZZ.jpg,8.1
384,0440213525,The Client,John Grisham,1994,Dell Publishing Company,http://images.amazon.com/images/P/0440213525.01.LZZZZZZZ.jpg,7.9
385,0451188462,Desperation,Stephen King,1997,Signet Book,http://images.amazon.com/images/P/0451188462.01.LZZZZZZZ.jpg,7.3
386,0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,Scholastic,http://images.amazon.com/images/P/0439136350.01.LZZZZZZZ.jpg,9.1
387,0064400557,Charlotte's Web (Trophy Newbery),E. B. White,1974,HarperTrophy,http://images.amazon.com/images/P/0064400557.01.LZZZZZZZ.jpg,9.1
388,0671867172,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,1995,Pocket,http://images.amazon.com/images/P/0671867172.01.LZZZZZZZ.jpg,7.2
389,0316096199,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books,http://images.amazon.com/images/P/0316096199.01.LZZZZZZZ.jpg,8.2
390,0671568175,Let Me Call You Sweetheart,Mary Higgins Clark,1996,Pocket,http://images.amazon.com/images/P/0671568175.01.LZZZZZZZ.jpg,7.5
391,0449221504,K Is for Killer (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1999,Fawcett Books,http://images.amazon.com/images/P/0449221504.01.LZZZZZZZ.jpg,7.7
392,0446607193,Unspeakable,Sandra Brown,1999,Warner Books,http://images.amazon.com/images/P/0446607193.01.LZZZZZZZ.jpg,7.5
393,0373484003,Irish Hearts,Nora Roberts,2000,Silhouette,http://images.amazon.com/images/P/0373484003.01.LZZZZZZZ.jpg,8.0
394,0767905385,Catch Me If You Can: The True Story of a Real Fake,Stan Redding,2000,Broadway,http://images.amazon.com/images/P/0767905385.01.LZZZZZZZ.jpg,7.9
395,0440211263,Circle of Friends,Maeve Binchy,1991,Dell,http://images.amazon.com/images/P/0440211263.01.LZZZZZZZ.jpg,8.1
396,0553260111,The Bourne Identity,Robert Ludlum,1984,Bantam Books,http://images.amazon.com/images/P/0553260111.01.LZZZZZZZ.jpg,7.6
397,0767900383,Under the Tuscan Sun,Frances Mayes,1997,Broadway,http://images.amazon.com/images/P/0767900383.01.LZZZZZZZ.jpg,7.3
398,0684865742,Tis: A Memoir,Frank McCourt,2000,Scribner,http://images.amazon.com/images/P/0684865742.01.LZZZZZZZ.jpg,7.5
399,0425116840,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,1989,Berkley Publishing Group,http://images.amazon.com/images/P/0425116840.01.LZZZZZZZ.jpg,7.4
400,074343627X,Dreamcatcher,Stephen King,2001,Pocket,http://images.amazon.com/images/P/074343627X.01.LZZZZZZZ.jpg,7.2
401,067102423X,Bag of Bones,Stephen King,1999,Pocket,http://images.amazon.com/images/P/067102423X.01.LZZZZZZZ.jpg,7.9
402,0553268880,The Prince of Tides,Pat Conroy,1987,Bantam Books,http://images.amazon.com/images/P/0553268880.01.LZZZZZZZ.jpg,7.9
403,0316666009,1st to Die: A Novel,James Patterson,2001,Little Brown and Company,http://images.amazon.com/images/P/0316666009.01.LZZZZZZZ.jpg,7.7
404,0446611867,A Bend in the Road,Nicholas Sparks,2002,Warner Books,http://images.amazon.com/images/P/0446611867.01.LZZZZZZZ.jpg,7.5
405,0385336179,Shopaholic Ties the Knot,Sophie Kinsella,2003,Delta,http://images.amazon.com/images/P/0385336179.01.LZZZZZZZ.jpg,7.9
406,0553582755,One Door Away from Heaven,Dean R. Koontz,2002,Bantam Books,http://images.amazon.com/images/P/0553582755.01.LZZZZZZZ.jpg,7.7
407,0452268060,How the Garcia Girls Lost Their Accents (Plume Contemporary Fiction),Julia Alvarez,1992,Plume Books,http://images.amazon.com/images/P/0452268060.01.LZZZZZZZ.jpg,7.2
408,044651652X,The Bridges of Madison County,Robert James Waller,1992,Warner Books,http://images.amazon.com/images/P/044651652X.01.LZZZZZZZ.jpg,7.5
409,0345339738,"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345339738.01.LZZZZZZZ.jpg,9.4
410,0446679593,Suzanne's Diary for Nicholas,James Patterson,2002,Warner Books,http://images.amazon.com/images/P/0446679593.01.LZZZZZZZ.jpg,7.7
411,1573225517,High Fidelity,Nick Hornby,1996,Riverhead Books,http://images.amazon.com/images/P/1573225517.01.LZZZZZZZ.jpg,8.3
412,0802130208,A Confederacy of Dunces (Evergreen Book),John Kennedy Toole,1987,Grove Press,http://images.amazon.com/images/P/0802130208.01.LZZZZZZZ.jpg,7.2
413,0156628708,Mrs Dalloway,Virginia Woolf,1990,Harvest Books,http://images.amazon.com/images/P/0156628708.01.LZZZZZZZ.jpg,7.1
414,0060199652,Prodigal Summer,Barbara Kingsolver,2000,HarperCollins,http://images.amazon.com/images/P/0060199652.01.LZZZZZZZ.jpg,8.3
415,034541389X,Flesh and Blood,Jonathan Kellerman,2002,Ballantine Books,http://images.amazon.com/images/P/034541389X.01.LZZZZZZZ.jpg,7.3
416,0316284955,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,2000,Back Bay Books,http://images.amazon.com/images/P/0316284955.01.LZZZZZZZ.jpg,7.9
417,0060987529,Confessions of an Ugly Stepsister : A Novel,Gregory Maguire,2000,Regan Books,http://images.amazon.com/images/P/0060987529.01.LZZZZZZZ.jpg,7.5
418,0553277472,Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,ROBERT PIRSIG,1984,Bantam,http://images.amazon.com/images/P/0553277472.01.LZZZZZZZ.jpg,7.7
419,0553560247,Dying for Chocolate (Culinary Mysteries (Paperback)),DIANE MOTT DAVIDSON,1993,Bantam,http://images.amazon.com/images/P/0553560247.01.LZZZZZZZ.jpg,7.7
420,051512608X,The Reef,Nora Roberts,1999,Jove Books,http://images.amazon.com/images/P/051512608X.01.LZZZZZZZ.jpg,6.9
421,067088300X,The Girls' Guide to Hunting and Fishing,Melissa Bank,1999,Viking Books,http://images.amazon.com/images/P/067088300X.01.LZZZZZZZ.jpg,6.9
422,0375727345,House of Sand and Fog,Andre Dubus III,2000,Vintage Books,http://images.amazon.com/images/P/0375727345.01.LZZZZZZZ.jpg,7.3
423,0446608890,Saving Faith,David Baldacci,2000,Warner Vision,http://images.amazon.com/images/P/0446608890.01.LZZZZZZZ.jpg,7.3
424,0743437640,The Mulberry Tree,Jude Deveraux,2003,Pocket,http://images.amazon.com/images/P/0743437640.01.LZZZZZZZ.jpg,7.8
425,0375703861,White Teeth: A Novel,Zadie Smith,2001,Vintage Books USA,http://images.amazon.com/images/P/0375703861.01.LZZZZZZZ.jpg,7.4
426,0425152251,Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425152251.01.LZZZZZZZ.jpg,7.7
427,0312924585,Silence of the Lambs,Thomas Harris,1991,St. Martin's Press,http://images.amazon.com/images/P/0312924585.01.LZZZZZZZ.jpg,8.4
428,0385479565,The Hot Zone,Richard Preston,1995,Anchor,http://images.amazon.com/images/P/0385479565.01.LZZZZZZZ.jpg,8.0
429,0425162443,The Rapture of Canaan,Sheri Reynolds,1997,Berkley Publishing Group,http://images.amazon.com/images/P/0425162443.01.LZZZZZZZ.jpg,7.4
430,0515132020,Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books,http://images.amazon.com/images/P/0515132020.01.LZZZZZZZ.jpg,7.9
431,0515131229,Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books,http://images.amazon.com/images/P/0515131229.01.LZZZZZZZ.jpg,8.0
432,038079487X,What Looks Like Crazy On An Ordinary Day,Pearl Cleage,1998,Perennial,http://images.amazon.com/images/P/038079487X.01.LZZZZZZZ.jpg,7.5
433,0684872153,Angela's Ashes (MMP) : A Memoir,Frank McCourt,1999,Scribner,http://images.amazon.com/images/P/0684872153.01.LZZZZZZZ.jpg,8.0
434,0312421273,The Corrections: A Novel,Jonathan Franzen,2002,Picador USA,http://images.amazon.com/images/P/0312421273.01.LZZZZZZZ.jpg,7.1
435,0786866586,Shopgirl : A Novella,Steve Martin,2000,Hyperion Press,http://images.amazon.com/images/P/0786866586.01.LZZZZZZZ.jpg,6.7
436,0064407675,"The Reptile Room (A Series of Unfortunate Events, Book 2)",Lemony Snicket,1999,HarperCollins,http://images.amazon.com/images/P/0064407675.01.LZZZZZZZ.jpg,8.0
437,0380977788,Coraline,Neil Gaiman,2002,HarperCollins,http://images.amazon.com/images/P/0380977788.01.LZZZZZZZ.jpg,8.2
438,0553571818,Long After Midnight,IRIS JOHANSEN,1997,Bantam,http://images.amazon.com/images/P/0553571818.01.LZZZZZZZ.jpg,7.2
439,0441790348,Stranger in a Strange Land (Remembering Tomorrow),Robert A. Heinlein,1995,ACE Charter,http://images.amazon.com/images/P/0441790348.01.LZZZZZZZ.jpg,8.3
440,0345391055,Disclosure,Michael Crichton,1994,Ballantine Books,http://images.amazon.com/images/P/0345391055.01.LZZZZZZZ.jpg,7.4
441,0375760911,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,Villard Books,http://images.amazon.com/images/P/0375760911.01.LZZZZZZZ.jpg,7.4
442,0374129983,The Corrections,Jonathan Franzen,2001,Farrar Straus &amp; Giroux,http://images.amazon.com/images/P/0374129983.01.LZZZZZZZ.jpg,6.8
443,0345413350,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1997,Del Rey,http://images.amazon.com/images/P/0345413350.01.LZZZZZZZ.jpg,8.0
444,0316601950,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books,http://images.amazon.com/images/P/0316601950.01.LZZZZZZZ.jpg,7.5
445,1573227331,About a Boy,Nick Hornby,1999,Riverhead Books,http://images.amazon.com/images/P/1573227331.01.LZZZZZZZ.jpg,7.6
446,080411918X,A Patchwork Planet,ANNE TYLER,2001,Ballantine Books,http://images.amazon.com/images/P/080411918X.01.LZZZZZZZ.jpg,7.1
447,0066214122,Prey: A Novel,Michael Crichton,2002,HarperCollins,http://images.amazon.com/images/P/0066214122.01.LZZZZZZZ.jpg,7.8
448,0375502238,Blessings,ANNA QUINDLEN,2002,Random House,http://images.amazon.com/images/P/0375502238.01.LZZZZZZZ.jpg,7.8
449,0440202043,Shell Seekers,Rosamunde Pilcher,1996,Dell,http://images.amazon.com/images/P/0440202043.01.LZZZZZZZ.jpg,8.1
450,0451183665,A Case of Need,Michael Crichton,1994,Signet Book,http://images.amazon.com/images/P/0451183665.01.LZZZZZZZ.jpg,7.0
451,0399150897,Blow Fly: A Scarpetta Novel,Patricia Cornwell,2003,Putnam Publishing Group,http://images.amazon.com/images/P/0399150897.01.LZZZZZZZ.jpg,7.3
452,038550926X,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003,Doubleday,http://images.amazon.com/images/P/038550926X.01.LZZZZZZZ.jpg,7.0
453,0671004530,On the Street Where You Live,Mary Higgins Clark,2002,Pocket,http://images.amazon.com/images/P/0671004530.01.LZZZZZZZ.jpg,7.7
454,0060959037,Prodigal Summer: A Novel,Barbara Kingsolver,2001,Perennial,http://images.amazon.com/images/P/0060959037.01.LZZZZZZZ.jpg,8.2
455,014028009X,Bridget Jones's Diary,Helen Fielding,1999,Penguin Books,http://images.amazon.com/images/P/014028009X.01.LZZZZZZZ.jpg,7.6
456,0452282829,We Were the Mulvaneys,Joyce Carol Oates,1996,Plume,http://images.amazon.com/images/P/0452282829.01.LZZZZZZZ.jpg,7.1
457,0060929871,Brave New World,Aldous Huxley,1998,Perennial,http://images.amazon.com/images/P/0060929871.01.LZZZZZZZ.jpg,7.9
458,0385722206,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002,Anchor,http://images.amazon.com/images/P/0385722206.01.LZZZZZZZ.jpg,8.0
459,0142001430,Year of Wonders,Geraldine Brooks,2002,Penguin Books,http://images.amazon.com/images/P/0142001430.01.LZZZZZZZ.jpg,8.3
460,080410526X,All I Really Need to Know,ROBERT FULGHUM,1989,Ivy Books,http://images.amazon.com/images/P/080410526X.01.LZZZZZZZ.jpg,8.0
461,031242227X,Running with Scissors: A Memoir,Augusten Burroughs,2003,Picador USA,http://images.amazon.com/images/P/031242227X.01.LZZZZZZZ.jpg,7.5
462,0440235596,Tara Road,Maeve Binchy,2000,Dell Publishing Company,http://images.amazon.com/images/P/0440235596.01.LZZZZZZZ.jpg,7.6
463,042516098X,Hornet's Nest,Patricia Daniels Cornwell,1998,Berkley Publishing Group,http://images.amazon.com/images/P/042516098X.01.LZZZZZZZ.jpg,6.6
464,0446613266,Four Blind Mice,James Patterson,2003,Warner Books,http://images.amazon.com/images/P/0446613266.01.LZZZZZZZ.jpg,8.2
465,038549081X,The Handmaid's Tale : A Novel,Margaret Atwood,1998,Anchor,http://images.amazon.com/images/P/038549081X.01.LZZZZZZZ.jpg,8.4
466,0552998486,Chocolat,Joanne Harris,2000,Black Swan,http://images.amazon.com/images/P/0552998486.01.LZZZZZZZ.jpg,7.9
467,0671041789,The Green Mile,Stephen King,1999,Pocket,http://images.amazon.com/images/P/0671041789.01.LZZZZZZZ.jpg,8.5
468,0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg,9.1
469,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic,http://images.amazon.com/images/P/0439064864.01.LZZZZZZZ.jpg,8.8
470,0440180295,Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death,Kurt Vonnegut,1991,Laurel,http://images.amazon.com/images/P/0440180295.01.LZZZZZZZ.jpg,8.3
471,0449003795,P Is for Peril,Sue Grafton,2002,Ballantine Books,http://images.amazon.com/images/P/0449003795.01.LZZZZZZZ.jpg,7.3
472,1551668998,Beach House,Mary Alice Monroe,2002,Mira,http://images.amazon.com/images/P/1551668998.01.LZZZZZZZ.jpg,8.6
473,044651862X,The Celestine Prophecy (Celestine Prophecy),James Redfield,1994,Warner Books,http://images.amazon.com/images/P/044651862X.01.LZZZZZZZ.jpg,7.2
474,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,http://images.amazon.com/images/P/043935806X.01.LZZZZZZZ.jpg,9.0
475,0451184963,Insomnia,Stephen King,1995,Signet Book,http://images.amazon.com/images/P/0451184963.01.LZZZZZZZ.jpg,7.7
476,0440220602,The Chamber,John Grisham,1995,Dell Publishing Company,http://images.amazon.com/images/P/0440220602.01.LZZZZZZZ.jpg,7.4
477,042513525X,Hideaway,Dean R. Koontz,1992,Berkley Publishing Group,http://images.amazon.com/images/P/042513525X.01.LZZZZZZZ.jpg,7.4
478,0451156609,The Tommyknockers,Stephen King,1994,Signet Book,http://images.amazon.com/images/P/0451156609.01.LZZZZZZZ.jpg,7.2
479,1400031354,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor,http://images.amazon.com/images/P/1400031354.01.LZZZZZZZ.jpg,8.5
480,0425170349,Rainbow Six,Tom Clancy,2004,Berkley Publishing Group,http://images.amazon.com/images/P/0425170349.01.LZZZZZZZ.jpg,7.4
481,0446608955,A Walk to Remember,Nicholas Sparks,2000,Warner Books,http://images.amazon.com/images/P/0446608955.01.LZZZZZZZ.jpg,7.9
482,0440414806,Holes (Yearling Newbery),LOUIS SACHAR,2000,Yearling,http://images.amazon.com/images/P/0440414806.01.LZZZZZZZ.jpg,8.7
483,0440241073,The Summons,John Grisham,2002,Dell Publishing Company,http://images.amazon.com/images/P/0440241073.01.LZZZZZZZ.jpg,7.3
484,0449227421,The Third Twin,Ken Follett,1997,Fawcett Books,http://images.amazon.com/images/P/0449227421.01.LZZZZZZZ.jpg,7.6
485,0446606324,The Winner,David Baldacci,1998,Warner Vision,http://images.amazon.com/images/P/0446606324.01.LZZZZZZZ.jpg,7.3
486,0515132187,The Villa,Nora Roberts,2002,Jove Books,http://images.amazon.com/images/P/0515132187.01.LZZZZZZZ.jpg,7.2
487,0446670251,The Virgin Suicides,Jeffrey Eugenides,1994,Warner Books,http://images.amazon.com/images/P/0446670251.01.LZZZZZZZ.jpg,7.8
488,0425154092,From Potter's Field,Patricia Daniels Cornwell,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425154092.01.LZZZZZZZ.jpg,7.7
489,0671014196,The Summerhouse,Jude Deveraux,2002,Pocket,http://images.amazon.com/images/P/0671014196.01.LZZZZZZZ.jpg,7.6
490,0871136791,Cold Mountain,Charles Frazier,1997,Atlantic Monthly Press,http://images.amazon.com/images/P/0871136791.01.LZZZZZZZ.jpg,8.1
491,0385475721,The Blind Assassin,Margaret Atwood,2000,Nan A. Talese,http://images.amazon.com/images/P/0385475721.01.LZZZZZZZ.jpg,7.5
492,0553271636,D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1988,Bantam,http://images.amazon.com/images/P/0553271636.01.LZZZZZZZ.jpg,7.7
493,0679751521,Midnight in the Garden of Good and Evil,John Berendt,1999,Vintage Books USA,http://images.amazon.com/images/P/0679751521.01.LZZZZZZZ.jpg,7.5
494,0312966091,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,1998,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312966091.01.LZZZZZZZ.jpg,8.2
495,0671001795,Two for the Dough,Janet Evanovich,1996,Pocket,http://images.amazon.com/images/P/0671001795.01.LZZZZZZZ.jpg,8.3
496,0553274295,Where the Red Fern Grows,Wilson Rawls,1984,Random House Children's Books,http://images.amazon.com/images/P/0553274295.01.LZZZZZZZ.jpg,8.7
497,0316693235,Violets Are Blue,James Patterson,2001,"Little, Brown",http://images.amazon.com/images/P/0316693235.01.LZZZZZZZ.jpg,7.6
498,0425153975,The Eyes of Darkness,Dean R. Koontz,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425153975.01.LZZZZZZZ.jpg,8.0
499,0399149325,Portrait of a Killer: Jack the Ripper -- Case Closed,Patricia Cornwell,2002,G. P. Putnam's Sons,http://images.amazon.com/images/P/0399149325.01.LZZZZZZZ.jpg,6.6
500,0804114986,The Bonesetter's Daughter,Amy Tan,2002,Ballantine Books,http://images.amazon.com/images/P/0804114986.01.LZZZZZZZ.jpg,8.0
501,0446611808,Envy,Sandra Brown,2002,Warner Books,http://images.amazon.com/images/P/0446611808.01.LZZZZZZZ.jpg,7.8
502,0425178102,Big Trouble,Dave Barry,2001,Berkley Publishing Group,http://images.amazon.com/images/P/0425178102.01.LZZZZZZZ.jpg,7.4
503,0312144075,The Samurai's Garden : A Novel,Gail Tsukiyama,1996,St. Martin's Griffin,http://images.amazon.com/images/P/0312144075.01.LZZZZZZZ.jpg,8.1
504,0451206525,Dead Sleep,Greg Iles,2002,Signet Book,http://images.amazon.com/images/P/0451206525.01.LZZZZZZZ.jpg,7.7
505,0451167317,The Dark Half,Stephen King,1994,Signet Book,http://images.amazon.com/images/P/0451167317.01.LZZZZZZZ.jpg,7.6
506,0312980159,Fast Women,Jennifer Crusie,2002,St. Martin's Press,http://images.amazon.com/images/P/0312980159.01.LZZZZZZZ.jpg,7.8
507,0312983271,Full House (Janet Evanovich's Full Series),Janet Evanovich,2002,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312983271.01.LZZZZZZZ.jpg,6.9
508,0553284789,F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1990,Bantam,http://images.amazon.com/images/P/0553284789.01.LZZZZZZZ.jpg,7.9
509,0553279556,E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1989,Bantam,http://images.amazon.com/images/P/0553279556.01.LZZZZZZZ.jpg,8.0
510,0446605409,Plum Island,Nelson DeMille,1998,Warner Books,http://images.amazon.com/images/P/0446605409.01.LZZZZZZZ.jpg,7.7
511,0439136369,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001,Scholastic,http://images.amazon.com/images/P/0439136369.01.LZZZZZZZ.jpg,9.1
512,0452280621,Beloved,Toni Morrison,1998,Plume Books,http://images.amazon.com/images/P/0452280621.01.LZZZZZZZ.jpg,7.3
513,0385503822,The Summons,John Grisham,2002,Doubleday Books,http://images.amazon.com/images/P/0385503822.01.LZZZZZZZ.jpg,7.3
514,0609804138,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,Three Rivers Press,http://images.amazon.com/images/P/0609804138.01.LZZZZZZZ.jpg,7.6
515,0345439104,Drowning Ruth (Oprah's Book Club),CHRISTINA SCHWARZ,2001,Ballantine Books,http://images.amazon.com/images/P/0345439104.01.LZZZZZZZ.jpg,7.5
516,0425180638,The Last Precinct,Patricia Cornwell,2001,Berkley Publishing Group,http://images.amazon.com/images/P/0425180638.01.LZZZZZZZ.jpg,7.5
517,0312924801,September,Rosamunde Pilcher,1991,St. Martin's Press,http://images.amazon.com/images/P/0312924801.01.LZZZZZZZ.jpg,7.3
518,0679735909,Possession : A Romance,A.S. BYATT,1991,Vintage,http://images.amazon.com/images/P/0679735909.01.LZZZZZZZ.jpg,7.7
519,0449221490,L Is for Lawless,Sue Grafton,1996,Fawcett Books,http://images.amazon.com/images/P/0449221490.01.LZZZZZZZ.jpg,7.7
520,042513699X,Turtle Moon,Alice Hoffman,1993,Berkley Publishing Group,http://images.amazon.com/images/P/042513699X.01.LZZZZZZZ.jpg,7.6
521,0345387651,The Cider House Rules,John Irving,1994,Ballantine Books,http://images.amazon.com/images/P/0345387651.01.LZZZZZZZ.jpg,7.7
522,0679444815,Timeline,Michael Crichton,1999,Alfred A. Knopf,http://images.amazon.com/images/P/0679444815.01.LZZZZZZZ.jpg,7.9
523,0060921145,Animal Dreams,Barbara Kingsolver,1991,Perennial,http://images.amazon.com/images/P/0060921145.01.LZZZZZZZ.jpg,8.0
524,0743467523,Dreamcatcher,Stephen King,2003,Pocket,http://images.amazon.com/images/P/0743467523.01.LZZZZZZZ.jpg,7.2
525,0345404114,Sleepers,Lorenzo Carcaterra,1996,Ballantine Books,http://images.amazon.com/images/P/0345404114.01.LZZZZZZZ.jpg,7.4
526,0671027662,Coast Road: A Novel,Barbara Delinsky,1999,Pocket Books,http://images.amazon.com/images/P/0671027662.01.LZZZZZZZ.jpg,7.7
